Folio,Grado,Sexo,Edad,Autoconsciencia1,Autoconsciencia2,Autoconsciencia3,Eficacia1,Eficacia2,Eficacia3,Persistencia1,Persistencia2,Persistencia3,ApoyoEscuela1,ApoyoEscuela2,ApoyoEscuela3,CoherenciaFam1,CoherenciaFam2,CoherenciaFam3,Compañerismo1,Compañerismo2,Compañerismo3,RegulaciónEmo1,RegulaciónEmo2,RegulaciónEmo3,Empatía1,Empatía2,Empatía3,ControlConducta1,ControlConducta2,ControlConducta3,Optimismo1,Optimismo2,Optimismo3,Entusiasmo1,Entusiasmo2,Entusiasmo3,Gratitud1,Gratitud2,Gratitud3,Gratitud4
1375,2,2,14,2,2,1,2,2,2,2,3,4,4,1,2,1,2,2,2,3,1,2,1,2,2,2,2,3,4,3,2,2,4,3,3,3,2,2,1,1
1376,2,2,15,4,4,4,4,3,4,3,4,4,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,3,3,4,4,3,4,3,4,2,2,4,4,4
1377,2,2,14,3,3,4,4,3,4,2,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,4,5,5,4
1378,2,1,14,4,3,3,4,4,3,2,3,2,4,4,4,3,3,4,3,4,4,4,3,4,3,3,3,2,2,3,4,4,4,4,3,5,4,4,3,4
1379,2,1,14,3,2,3,4,2,1,3,3,2,4,4,4,4,3,4,3,4,4,2,3,3,4,2,2,3,3,4,4,4,4,4,4,3,3,4,5,5
1380,2,2,14,4,3,3,4,4,3,3,4,3,4,3,3,3,3,3,4,4,4,3,4,3,3,4,3,3,3,3,3,3,4,4,4,3,3,3,3,3
1381,2,1,14,4,3,3,4,2,3,3,4,3,4,3,3,4,4,3,3,3,4,4,3,3,2,3,3,4,3,4,4,4,4,4,3,5,4,4,5,5
1382,2,1,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4
1383,2,2,15,4,4,2,4,1,4,,2,4,4,4,1,4,3,3,4,4,4,3,3,1,4,4,4,1,4,2,4,4,4,3,5,5,5,1,3,1
1384,2,1,14,2,4,2,3,4,2,4,3,4,,1,2,4,4,2,3,3,4,3,2,3,4,2,1,2,4,3,3,2,3,5,3,5,4,3,4,5
1385,2,2,14,3,4,2,4,4,3,2,1,2,4,4,2,4,4,4,4,4,4,3,4,1,4,,3,3,3,1,4,4,4,5,5,5,5,5,5,4
1386,2,1,14,2,3,3,4,4,4,3,2,3,4,3,4,3,4,4,2,2,3,3,4,4,4,4,3,4,3,2,4,4,4,3,2,4,4,3,5,5
1387,2,1,16,4,4,3,4,4,4,1,3,3,4,4,4,4,4,4,2,4,4,4,4,2,4,3,3,4,4,4,4,4,4,5,5,5,5,4,5,4
1388,2,1,14,3,3,3,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1389,2,2,14,2,3,3,3,4,4,3,2,3,3,2,3,3,4,3,4,4,4,3,2,2,3,2,2,2,2,3,1,2,1,5,4,3,4,3,3,4
1390,2,1,14,2,2,4,4,4,4,4,2,3,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,2,2,2,4,4,4,4,5,4,3,4,5,3
1391,2,1,14,3,4,4,3,1,1,1,3,4,4,,4,4,4,4,4,,,3,4,4,1,4,3,4,4,1,1,1,1,1,1,1,1,1,1,3
1392,2,2,14,4,3,3,4,2,4,2,4,3,4,3,3,4,3,2,4,4,4,4,4,3,4,3,4,3,3,3,3,3,4,3,3,4,3,5,,4
1393,2,1,16,3,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,3,4,4,4,5,5,5,4,4,5,4
1394,2,2,14,4,4,3,4,4,4,3,3,4,4,1,3,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,5,5,5,5,5,5,5
1395,2,1,15,4,4,3,4,4,4,3,3,3,4,1,3,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,5,5,5,5,5,5,5
1396,2,1,15,4,3,4,4,3,3,4,3,3,4,4,3,4,3,3,2,4,4,3,3,3,4,4,3,3,3,4,3,4,3,3,3,3,3,3,3,5
1397,2,1,14,3,4,3,4,4,4,3,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,5,4,4,4,5,5,5
1398,2,1,14,4,4,3,4,2,2,1,1,2,4,4,2,3,4,3,,4,4,4,2,3,4,4,4,4,3,1,4,4,4,5,4,5,3,4,2,3
1399,2,2,14,3,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,3,3,4,4,4,4,4,5,5,4,5,5
1400,2,2,15,4,4,3,4,3,3,3,3,3,3,2,4,3,4,3,3,3,4,4,3,4,4,3,3,3,4,3,3,4,4,4,4,4,4,4,5,5
1401,2,1,16,3,4,3,4,4,4,2,3,3,4,4,4,3,3,3,3,4,4,3,3,4,3,4,4,4,2,1,4,4,4,4,4,2,3,2,3,3
1402,2,1,15,4,4,3,4,3,4,3,4,3,4,,4,3,4,4,3,4,2,4,3,4,4,3,3,3,4,4,4,4,4,5,4,4,4,4,5,4
1403,3,2,16,4,4,4,3,4,4,4,2,4,3,1,4,4,4,4,4,3,4,4,4,3,4,4,4,4,3,2,4,4,4,4,4,4,3,4,4,4
