Folio,Grado,Sexo,Edad,Autoconsciencia1,Autoconsciencia2,Autoconsciencia3,Eficacia1,Eficacia2,Eficacia3,Persistencia1,Persistencia2,Persistencia3,ApoyoEscuela1,ApoyoEscuela2,ApoyoEscuela3,CoherenciaFam1,CoherenciaFam2,CoherenciaFam3,Compañerismo1,Compañerismo2,Compañerismo3,RegulaciónEmo1,RegulaciónEmo2,RegulaciónEmo3,Empatía1,Empatía2,Empatía3,ControlConducta1,ControlConducta2,ControlConducta3,Optimismo1,Optimismo2,Optimismo3,Entusiasmo1,Entusiasmo2,Entusiasmo3,Gratitud1,Gratitud2,Gratitud3,Gratitud4
1484,3,1,16,,2,4,3,4,1,2,2,1,4,4,4,3,4,3,4,4,4,3,4,2,2,3,3,4,3,2,4,4,4,5,4,4,5,5,5,5
1485,3,2,16,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,5,4,5,5,4
1486,3,1,15,3,4,3,4,4,3,3,2,3,4,4,3,4,3,3,4,4,4,3,4,4,3,3,2,4,3,3,2,4,3,4,4,4,4,4,4,4
1487,3,1,16,3,3,3,4,4,3,2,1,1,2,2,3,3,2,3,3,4,3,3,3,3,1,2,2,1,3,4,3,3,2,5,3,4,5,1,1,3
1488,3,2,15,3,3,3,4,2,2,2,4,3,4,3,4,4,3,3,3,3,2,4,3,3,4,3,4,4,4,2,2,3,4,2,2,2,2,3,4,3
1489,3,1,15,4,4,4,,3,3,3,4,3,4,4,4,4,4,3,4,3,4,3,3,3,4,4,4,4,3,4,4,4,4,4,5,4,5,5,5,4
1490,3,2,15,4,4,3,3,1,3,1,3,2,4,2,4,4,4,4,4,4,4,3,4,3,3,4,4,3,3,3,2,3,4,2,2,2,1,3,4,3
1491,3,2,16,4,3,3,4,4,4,2,3,2,4,1,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,4,3,4,5,5,5,5,4,3,5
1492,3,2,15,4,4,3,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,3,4,3,2,5,4,3,4,3
1493,3,1,16,3,4,4,4,3,3,4,2,2,3,4,4,4,4,3,4,4,4,3,4,4,2,3,3,4,2,2,4,4,4,4,3,3,3,3,4,4
1494,3,1,16,4,3,4,4,3,3,3,4,2,4,2,4,4,4,4,4,4,4,3,3,4,3,3,3,4,3,3,3,3,4,3,3,3,3,4,4,4
1495,3,2,15,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,4,5,5
1496,3,1,15,3,3,3,4,4,4,2,3,3,4,3,4,4,4,2,4,4,4,3,3,3,2,3,3,4,3,4,4,4,4,3,2,1,2,3,,4
1497,3,2,16,3,4,4,4,3,3,3,3,4,4,3,4,4,2,3,4,4,4,4,4,3,4,4,4,3,2,3,4,4,4,4,4,4,4,4,4,4
1498,3,2,15,3,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4,3,3,2,3,4,4,4,5,5,4,5,4
1499,3,1,15,3,4,4,4,3,3,3,4,2,4,4,4,4,4,4,4,4,4,3,2,4,4,4,4,4,3,3,3,4,3,4,4,4,4,4,5,5
1500,3,2,15,4,4,4,2,3,4,4,4,4,1,3,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,3,4,4,4,5,5,5,5,5,5,5
1501,3,2,16,2,4,3,3,4,3,3,2,3,4,3,2,3,3,3,4,4,3,3,4,4,4,4,4,3,3,3,4,3,3,5,3,2,1,4,4,4
1502,3,1,15,4,4,3,4,3,3,3,2,3,3,3,2,4,4,4,4,2,2,4,3,3,1,2,3,4,2,3,4,3,4,4,3,4,4,3,3,2
1503,3,1,15,4,4,3,4,3,3,2,3,2,4,3,4,4,4,4,4,4,4,3,3,4,3,3,4,4,4,3,2,4,4,2,4,5,4,3,4,4
1504,3,1,16,3,2,3,3,4,2,1,3,2,4,4,3,4,4,4,3,3,3,2,4,3,1,3,2,3,4,3,4,4,3,4,5,3,4,5,3,4
1505,3,1,15,3,4,4,4,3,2,3,3,3,4,4,3,4,3,3,3,2,3,3,3,4,3,3,4,4,3,3,4,4,4,4,3,4,3,4,4,4
1506,3,1,15,4,3,3,4,4,4,4,2,2,3,3,3,4,4,3,4,4,4,3,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,3
1507,3,1,15,4,4,4,4,3,4,3,3,3,4,3,2,4,4,4,4,4,4,4,4,3,1,1,2,4,3,3,4,4,4,1,2,3,2,3,3,3
1508,3,2,15,3,4,4,4,3,4,3,3,4,4,3,4,3,3,4,4,4,4,4,4,3,3,4,3,3,3,3,4,4,4,3,2,4,3,3,4,5
1509,3,1,15,2,2,2,2,2,4,2,3,1,3,1,4,2,2,2,4,4,1,3,4,3,4,4,4,4,2,2,4,4,4,4,4,4,3,4,3,1
1511,1,2,13,3,4,3,4,4,4,1,3,1,4,4,4,4,3,4,4,4,4,2,3,4,4,4,3,4,1,1,4,4,4,3,4,4,3,5,5,5
1512,1,2,13,3,3,3,4,4,4,3,3,3,4,3,4,4,4,4,4,4,4,3,4,3,4,3,3,4,3,3,4,4,4,5,5,5,5,5,5,5
1513,1,2,13,3,4,1,3,2,2,2,3,2,4,4,3,2,2,2,4,4,4,4,3,2,4,4,4,3,3,2,4,4,4,2,2,3,3,3,3,3
1514,1,2,13,3,3,3,4,4,4,3,3,2,4,3,4,4,4,3,4,4,4,3,3,1,4,3,3,2,3,2,4,4,4,5,4,5,5,3,5,4
1515,1,1,13,3,3,3,4,3,4,3,4,4,4,3,3,4,4,4,3,4,,3,4,4,4,4,3,4,3,,,3,4,5,4,3,2,5,5,4
1516,1,1,13,2,3,4,4,3,3,2,3,4,4,4,4,3,4,4,4,4,3,3,2,3,2,3,2,3,2,3,4,4,4,4,5,3,4,5,,3
1517,3,2,15,3,4,3,4,4,4,4,3,,4,3,1,4,3,1,3,3,3,4,4,2,3,4,4,3,4,3,4,4,4,4,5,4,4,4,5,4
1518,3,1,15,4,3,3,4,3,3,2,3,2,3,2,3,3,3,3,4,4,4,3,2,1,1,2,2,2,2,1,3,2,4,4,3,3,3,3,4,3
1519,3,2,15,3,4,4,4,2,3,3,3,2,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,4,3,2,4,4,4,5,4,4,5,3,4,4
1520,3,1,16,4,4,3,4,4,3,2,1,1,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,3,2,3,3,4,4,5,5,4,5,5,4,4
1521,3,1,15,3,3,3,4,2,2,4,1,3,4,2,4,2,2,3,2,3,2,3,2,1,2,3,2,1,2,2,4,4,4,5,5,5,5,5,5,5
1522,1,2,13,4,3,3,4,4,3,3,2,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,4,3,4,3,2,2,3,4,3,3
1523,1,1,13,3,4,3,4,3,4,4,4,4,3,3,4,4,3,3,4,4,4,4,3,3,3,4,3,4,3,3,4,4,4,4,4,5,5,4,2,4
1524,1,1,14,4,4,3,4,4,4,2,2,3,4,4,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,4,4,4,4,4,3,5,4,4,5,5
1525,1,1,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4,4,3,4,5,5,5,5,5
1526,1,2,13,2,3,3,3,3,2,1,1,2,2,2,3,4,3,4,4,4,4,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,4
1527,1,1,13,4,4,3,4,2,4,4,3,3,4,4,4,3,4,4,1,2,2,4,3,3,4,2,4,2,3,3,4,4,4,5,4,3,3,5,5,3
1528,1,1,14,2,3,2,3,2,3,3,4,3,4,4,3,3,4,4,3,4,4,4,3,4,3,4,3,3,2,3,4,4,3,3,3,3,3,3,4,4
1529,1,1,14,4,3,3,4,4,4,3,3,4,4,3,4,3,2,3,3,3,3,3,3,4,4,4,3,3,3,3,4,4,4,5,5,5,5,5,5,5
1530,1,1,13,3,4,4,4,4,3,3,3,2,4,3,4,3,4,4,4,4,4,3,3,3,2,4,4,2,3,2,4,4,4,4,3,4,3,5,5,4
1531,1,1,14,3,4,4,4,4,3,2,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,5,5,5
1532,1,1,13,2,4,3,4,3,3,4,3,4,4,3,3,3,3,4,4,4,4,4,3,2,4,3,3,4,3,2,4,4,1,3,2,4,1,3,5,3
1533,1,1,13,2,3,2,4,3,2,3,1,1,2,2,3,3,4,3,4,3,1,2,3,3,3,2,2,3,3,3,3,2,2,3,3,2,2,3,2,3
1534,1,2,14,3,3,4,3,3,4,2,3,4,4,3,4,3,,3,4,3,2,4,3,3,4,2,2,2,3,3,2,3,2,3,3,2,3,2,2,4
1535,1,1,14,4,3,4,2,3,3,1,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,4,1,4,4,4,4,5,5,4,5,3,4
1536,2,2,14,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,3,3,4,5,5,4,4,4,5,4
1537,2,1,15,4,4,4,4,4,4,3,3,3,4,3,4,3,3,3,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3
1538,2,2,15,4,4,3,2,4,2,1,1,2,4,4,4,3,3,4,4,4,4,3,3,3,3,4,4,3,4,3,4,4,4,4,4,4,4,3,5,4
1539,2,2,14,2,4,3,4,4,3,2,3,4,4,3,4,3,4,3,3,2,2,3,4,3,4,4,3,2,3,3,4,4,3,3,1,3,3,3,2,2
1540,2,1,14,3,3,2,3,2,1,2,3,3,4,4,3,4,3,3,2,3,3,3,2,2,2,1,1,2,3,2,4,4,2,3,3,4,2,4,3,3
1541,2,1,15,3,3,4,4,3,4,3,3,2,4,,3,4,3,3,3,2,3,3,4,3,2,2,2,3,2,3,3,4,3,5,4,5,5,4,4,4
1542,2,2,14,4,4,4,4,4,4,2,3,3,4,3,3,1,1,2,4,4,4,4,3,1,4,4,3,1,2,3,2,1,2,5,4,3,2,1,1,2
1543,2,2,14,3,2,3,4,4,3,3,2,3,3,4,4,4,4,4,4,4,4,3,4,2,4,4,4,3,3,4,4,4,4,5,4,5,5,5,5,5
1544,2,1,14,3,4,2,4,4,3,3,3,4,4,3,4,4,4,4,4,4,4,3,2,2,2,3,2,4,3,4,3,2,4,5,5,5,5,5,3,5
1545,2,2,14,3,3,4,4,3,2,1,2,2,4,3,4,3,3,4,4,3,3,2,1,2,3,2,1,3,3,3,2,4,4,4,3,4,3,3,4,3
1546,2,2,14,3,3,4,4,4,3,3,2,4,4,4,3,3,3,3,4,4,4,3,3,4,3,4,4,4,3,3,4,4,4,4,4,5,5,5,4,5
1547,2,2,16,4,4,3,4,3,4,3,4,3,4,4,4,4,4,4,4,2,4,4,4,3,4,3,4,4,2,3,4,4,4,5,5,5,5,5,5,3
1548,2,2,14,3,4,3,4,4,4,3,2,2,4,4,3,4,4,4,4,4,4,3,4,3,3,4,3,2,3,2,4,4,4,5,5,5,5,3,5,4
1549,2,1,14,3,4,4,3,3,1,2,3,4,4,4,4,3,4,3,3,3,4,2,3,4,3,3,3,4,3,1,4,4,4,4,4,5,5,5,5,4
1550,1,1,14,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,3,3,2,3,2,2,3,2,4,4,4,3,3,4,4,4,4,4
1551,1,1,13,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,3,4,4,3,3,4,3,3,4,3,3,4,4,4,4,4,4,5,5,4,4,5
1552,1,2,13,2,4,3,4,2,2,4,3,4,3,4,2,4,4,4,4,4,4,3,4,2,4,4,4,4,3,3,4,4,4,4,4,5,5,5,5,5
1553,1,1,13,4,4,4,4,4,4,3,2,4,4,3,4,4,4,3,4,4,4,3,3,4,1,3,3,4,2,1,4,4,4,4,4,4,4,5,5,5
1554,1,1,14,3,4,4,4,4,3,3,1,4,4,4,3,1,1,3,4,4,4,3,3,1,4,1,4,4,2,4,4,4,1,5,5,4,5,4,4,2
1555,1,1,14,4,4,3,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,5,5,4,4,5,5
1556,2,1,14,3,2,3,4,3,2,2,3,3,4,4,4,4,4,4,4,3,3,3,2,2,3,3,2,3,2,2,4,4,4,4,3,4,3,3,5,3
1557,2,2,14,3,4,4,4,3,4,2,2,,4,,3,3,4,,4,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,3,5,5,4,5,4
1558,2,2,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,5,4
1559,2,2,14,3,4,3,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,2,4,4,2,3,3,3,5,5,5
1560,2,2,14,3,4,4,4,3,4,2,3,3,4,4,4,3,4,3,4,4,4,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4,4,3,4
1561,2,2,14,3,4,3,4,2,2,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,3,3,3,3,4,4,4,3,5,5,5,4,5,5,4
1562,2,2,14,3,4,4,4,2,3,2,2,3,4,4,4,4,3,4,4,4,4,3,3,3,4,4,4,3,3,3,4,4,4,5,5,4,4,4,5,4
1563,2,2,15,4,4,2,4,4,4,1,3,2,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,2,4,3,4,5
1564,2,1,14,3,4,3,2,4,2,2,1,4,3,3,3,2,3,3,2,1,1,3,3,4,2,3,3,4,3,2,3,3,3,5,4,3,3,4,3,5
1565,2,2,14,4,3,4,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4,3,4,1,4,4,4,1,3,3,4,4,4,5,,3,5,5,5,5
1566,3,2,16,2,3,3,4,1,2,3,3,3,4,4,4,3,2,2,3,3,3,2,4,2,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,3
1567,3,1,15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
1568,3,2,16,3,4,3,4,2,2,3,3,3,4,4,3,4,3,4,4,4,4,3,3,3,4,3,4,3,2,2,3,3,4,3,3,3,4,3,4,3
1569,3,2,15,4,4,3,4,3,4,3,3,3,4,4,4,4,4,3,3,4,4,4,4,3,2,4,3,4,3,3,4,4,3,5,5,5,5,5,5,5
1570,3,1,15,4,4,3,4,4,3,4,3,3,4,3,3,4,4,4,4,4,4,3,3,2,4,3,4,3,3,2,4,3,4,4,4,3,5,4,5,4
1571,3,2,15,3,4,3,4,2,3,3,3,4,4,4,4,4,4,3,4,4,4,3,2,2,3,3,4,3,2,1,4,4,4,5,5,4,5,5,4,3
1572,3,1,15,4,3,3,4,4,4,4,4,4,,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,4,1,3,3,2,1,1,1,1,1
1573,3,1,16,3,3,4,,3,4,2,2,3,4,4,4,4,4,4,4,4,4,4,3,1,3,4,3,4,3,3,2,3,4,3,3,4,5,5,5,5
1574,3,1,15,4,3,3,4,2,3,2,2,2,3,3,3,4,3,4,4,2,3,3,3,3,2,3,2,3,3,2,4,3,3,3,4,3,3,4,3,3
1575,3,1,15,2,4,2,4,4,4,2,1,2,4,4,4,4,4,2,4,4,4,2,4,4,2,2,2,4,2,2,4,4,4,5,4,4,3,2,4,3
1576,3,2,15,4,4,2,3,2,2,3,3,3,4,3,4,4,4,3,4,3,4,3,3,3,4,3,3,3,3,4,2,2,3,3,3,3,2,3,3,2
1577,3,1,15,4,4,4,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,2,3,3,3,3,3,3,3,4,4
1578,3,1,15,3,3,3,4,3,2,2,4,3,4,4,4,4,4,4,3,3,4,3,3,3,4,3,3,4,3,2,3,4,4,4,3,3,4,4,2,3
1579,3,1,15,4,4,4,4,3,4,3,4,3,4,3,3,4,4,4,4,4,3,4,4,3,3,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4
1580,3,2,15,3,4,4,4,3,3,3,1,3,3,3,4,4,4,2,3,4,4,4,4,3,4,3,3,2,2,4,3,4,4,3,3,3,3,4,5,5
1581,3,1,15,3,3,3,4,4,3,3,2,3,,4,3,4,4,4,3,3,4,3,3,4,4,4,4,3,3,3,4,4,4,5,5,5,5,4,4,5
1582,3,2,16,3,4,3,4,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4,3,4,5,4,3
1583,3,2,15,4,4,3,4,3,3,3,4,3,4,4,3,4,4,4,4,4,4,4,3,3,2,3,4,3,4,4,3,3,4,5,4,3,3,3,3,2
1584,2,1,14,4,4,4,4,3,3,2,2,4,3,4,4,4,4,4,3,2,2,3,2,1,1,2,2,3,1,2,4,2,4,4,4,5,3,4,3,2
1585,1,1,14,3,2,3,3,4,3,1,4,4,4,3,3,3,4,3,3,3,2,4,4,3,1,3,3,2,2,3,1,1,1,3,3,2,1,1,3,1
1586,1,1,13,1,3,3,4,2,1,2,2,2,4,4,3,4,4,4,3,4,4,3,2,2,3,1,4,3,1,2,4,4,1,2,4,2,3,2,5,2
1587,1,2,13,3,3,3,4,3,4,3,2,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,3,3,4,3,4,3,3,3,4,4,4
1588,1,2,13,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,1,4,4,1,5,4,5,5,5,5,4
1589,1,1,14,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,5,5,5,5,5,5,4
1590,1,2,13,4,3,3,4,3,2,2,3,4,4,4,4,3,3,3,4,4,4,3,3,3,4,4,4,3,3,2,2,2,1,2,3,2,1,3,4,3
1591,1,1,13,3,4,3,4,4,4,2,3,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,5,5,4,5,5,5,5
1592,1,2,13,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
1593,1,1,14,3,4,3,4,3,3,1,3,4,4,4,4,4,4,4,1,4,3,3,3,3,4,3,4,4,3,2,4,4,4,5,4,4,3,4,4,4
1594,1,2,13,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,1,4,3,4,4,4,4,4,3,5,5,5,5
1595,2,2,14,3,4,3,4,4,4,4,3,3,4,4,2,4,3,4,4,4,4,3,4,3,4,4,2,3,3,4,4,3,4,4,5,4,3,3,5,4
1596,2,1,15,3,3,4,4,4,4,1,4,4,1,3,4,3,4,1,4,4,4,3,2,4,4,4,4,2,1,4,4,4,4,3,3,3,3,5,4,4
1597,2,2,14,3,4,3,4,3,4,2,2,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,4,3,4,4,4,4,4,3,3,3,3,5
1598,2,1,15,4,4,4,4,3,4,1,3,1,4,4,3,4,4,3,4,4,4,4,4,2,1,4,4,3,1,3,4,4,4,5,4,4,4,4,5,4
1599,2,2,14,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,4,3,4,4,4,4,3,3,5,4,5
1600,2,1,14,3,4,3,3,2,2,3,3,3,4,3,3,4,3,2,3,2,3,3,4,4,3,3,3,4,4,3,4,4,4,3,3,3,3,4,4,4
1601,2,2,14,3,4,3,4,2,2,2,3,3,4,3,4,3,3,4,4,4,4,3,3,2,4,4,3,3,3,3,3,3,3,4,4,5,5,4,5,2
1602,1,1,14,3,4,3,4,4,4,3,3,2,4,4,4,4,4,4,4,4,4,3,2,4,4,4,4,1,3,4,4,4,4,4,4,5,5,5,5,5
1603,1,2,13,4,4,3,4,3,3,3,2,2,4,2,3,4,4,4,4,4,4,4,3,3,4,3,4,3,2,3,4,4,4,5,4,3,3,4,4,3
1604,1,2,14,3,3,2,4,4,3,3,2,3,4,4,4,3,3,2,4,4,4,4,4,3,4,4,4,4,4,3,3,4,3,4,5,5,4,4,5,5
1605,1,1,13,4,4,4,4,4,3,2,3,3,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,2,3,4,4,4,4,3,3,3,3,4,4
1606,1,2,14,3,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,4,3
1607,1,2,13,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,4,5,5,5,5,5,5,5
1608,1,1,13,4,4,4,4,3,3,2,2,3,4,4,4,3,3,3,4,4,3,3,3,3,2,2,3,3,3,2,4,4,4,5,4,4,3,4,3,3
1609,1,2,13,4,4,3,4,2,3,3,4,3,4,4,4,3,4,3,4,4,4,3,4,3,4,4,4,3,4,4,2,2,3,3,2,2,3,3,3,4
1610,1,1,13,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,4,4,4,4,3,2,3,3,4,3,4,4,4,4,4,5,4,5,4,4,5
1611,1,1,13,4,3,3,4,3,3,2,3,3,4,3,4,3,3,4,4,3,4,4,3,4,2,3,3,4,4,3,4,4,4,4,4,3,3,5,4,4
1612,1,1,13,3,4,3,4,3,4,2,2,3,4,4,4,4,4,3,3,3,3,4,4,4,1,3,2,4,1,1,4,4,4,5,4,4,3,4,4,2
1613,1,2,13,4,4,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,5,3,3,5,4
1614,1,1,13,4,4,4,4,3,3,4,3,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,3,2,2,4,4,4,4,4,3,4,5,1,4
1615,1,1,13,3,4,4,3,4,3,3,2,4,4,,4,3,3,4,4,4,4,3,3,3,2,3,2,3,4,3,4,4,4,4,4,4,4,3,2,3
1616,1,1,13,3,2,3,,4,4,4,3,3,4,4,4,4,4,4,3,4,4,3,4,3,4,3,,3,3,3,4,3,4,4,4,3,3,3,1,4
1617,1,2,13,4,3,3,4,3,3,4,3,3,4,4,4,4,4,3,4,4,4,3,4,3,4,3,3,4,4,3,3,3,4,4,4,4,5,4,4,4
1618,1,2,14,2,3,2,4,1,3,2,1,1,4,2,4,2,2,1,4,4,4,2,4,2,3,3,3,1,2,2,2,3,2,1,1,2,1,3,2,2
1619,1,2,14,4,4,3,4,3,3,3,4,3,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,2,3,4,4,3,4,5,,4,4,3,4,5
1620,1,2,14,3,3,2,3,4,3,2,2,4,3,4,3,3,4,3,4,4,4,3,4,2,3,3,3,4,2,3,4,3,4,2,2,2,2,3,3,3
1621,1,1,14,4,3,3,4,4,4,3,3,3,4,4,4,4,4,4,3,4,3,3,4,3,4,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5
1622,1,1,13,4,4,4,4,3,4,4,1,4,3,1,3,4,4,4,3,3,4,3,4,4,1,1,2,2,3,4,2,2,3,3,3,3,3,3,3,3
1623,1,2,13,3,3,2,4,1,4,2,3,4,4,4,4,2,1,2,4,4,4,3,2,4,3,4,3,1,2,4,3,3,2,3,3,2,3,4,4,3
1624,1,1,14,4,3,4,4,4,3,1,1,2,3,4,4,4,4,4,3,4,4,3,3,2,3,1,2,3,2,3,4,4,4,5,5,5,4,4,5,4
1625,1,1,13,3,2,2,4,4,3,4,2,3,3,3,4,4,4,4,3,3,3,3,3,3,3,2,3,4,3,2,3,4,4,4,3,4,5,4,4,4
1626,1,1,13,3,3,1,4,3,3,1,1,3,4,2,2,4,3,3,1,2,1,4,3,4,4,4,4,3,1,4,1,2,4,2,2,2,3,3,2,2
1627,1,1,13,2,2,4,2,4,3,2,1,1,4,3,2,4,3,,1,1,1,3,4,4,1,3,1,4,3,4,4,,4,4,4,3,2,4,5,5
1628,1,1,13,3,3,3,4,4,4,3,2,2,4,3,3,4,4,3,2,1,3,3,2,2,2,3,3,4,3,3,3,4,3,4,4,3,5,4,4,5
1629,1,1,13,3,4,2,4,4,2,4,3,4,4,3,4,3,3,3,3,4,3,3,3,3,4,3,4,4,3,4,4,3,3,4,4,4,4,4,3,4
1630,1,1,13,3,4,3,3,3,3,3,3,4,3,4,3,2,3,3,4,3,4,3,3,4,3,2,2,4,3,2,3,3,2,5,5,5,5,4,4,3
1631,1,1,13,4,3,2,4,2,3,1,3,1,4,4,4,3,3,4,3,3,4,2,2,2,1,3,2,2,3,3,4,4,,4,3,4,5,4,3,4
1632,1,1,13,4,4,3,4,4,4,3,3,2,4,4,4,3,3,3,4,4,4,3,3,2,4,4,3,3,4,3,4,4,4,4,5,5,3,5,5,5
1633,1,1,13,3,3,2,4,4,3,2,2,3,3,4,4,4,4,3,4,1,4,2,4,4,3,3,3,4,2,2,3,4,3,4,4,4,3,3,3,4
1634,1,2,13,3,3,3,3,3,4,2,2,3,4,4,4,4,4,4,3,3,4,3,4,3,4,4,3,3,3,4,4,4,4,3,2,4,4,4,5,3
1635,1,1,14,4,4,3,4,3,2,2,3,2,4,4,4,2,3,3,4,4,4,3,3,2,3,2,3,3,2,3,4,4,4,3,3,3,3,3,4,4
1636,1,2,13,3,4,2,4,4,4,4,2,4,4,4,4,4,4,4,3,3,4,3,4,3,4,4,4,4,3,3,4,4,4,4,4,5,5,5,4,5
1637,1,2,13,4,3,3,4,4,3,2,3,,3,1,3,4,3,,4,4,4,4,3,3,4,4,4,3,4,3,4,4,4,4,5,5,4,4,3,3
1638,1,1,14,4,3,3,4,3,4,1,4,4,4,3,4,2,3,3,4,4,4,4,3,4,3,3,3,4,1,3,2,2,2,5,4,2,2,3,5,4
1639,1,1,13,3,4,3,4,4,3,3,4,3,4,4,3,4,3,4,3,3,3,3,3,3,3,3,3,4,2,3,4,4,4,4,4,4,5,4,4,3
1640,1,2,13,4,3,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4,3,5,4,4
1641,1,1,13,4,4,3,4,4,4,2,2,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,4,3,2,4,4,4,4,5,4,3,3,3,3
1642,1,2,13,3,2,3,3,4,3,4,4,3,3,4,4,3,4,4,2,2,1,4,4,3,1,2,1,2,4,4,2,3,4,1,3,4,3,3,3,4
1643,1,1,13,3,4,3,4,3,4,3,2,3,4,4,3,4,4,4,2,1,3,3,3,2,3,3,3,2,3,3,3,4,4,4,4,4,3,4,3,3
1644,1,1,13,3,4,3,4,3,2,1,4,4,4,4,4,3,4,3,4,4,3,2,3,3,2,3,3,3,2,3,4,4,4,5,5,5,4,4,5,4
1645,1,2,13,4,4,3,4,3,3,3,2,3,3,2,3,4,3,3,2,1,1,3,3,2,2,3,3,4,3,3,4,4,4,5,4,5,4,4,4,4
1646,1,1,13,4,4,3,4,4,4,2,3,2,4,4,3,4,3,4,1,3,1,4,4,4,3,4,4,4,3,4,4,4,4,4,4,5,3,5,5,5
1647,1,2,13,3,4,3,4,3,3,4,4,4,4,2,3,3,4,3,4,3,4,2,4,3,4,3,3,4,4,3,2,4,4,4,3,4,4,4,5,4
1648,1,2,13,,3,4,4,2,3,3,3,4,4,3,4,4,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,,3,3,4,4,5
1649,1,2,13,2,3,3,2,3,4,1,2,2,4,1,4,2,3,2,4,4,4,3,3,4,3,3,4,2,3,2,2,3,3,3,4,3,5,3,3,3
