"","Grado","Sexo","Edad","Autoconsciencia","Eficacia","Persistencia","ApoyoEscuela","CoherenciaFam","Compañerismo","RegulaciónEmo","Empatía","ControlConducta","Optimismo","Entusiasmo","Gratitud"
"40",1,1,13,3.66666666666667,3.33333333333333,4,4,3.66666666666667,2.66666666666667,3.66666666666667,4,3.66666666666667,2.66666666666667,3,4.33333333333333
"41",1,2,13,3,4,3.33333333333333,2,4,3,3.33333333333333,3,3.66666666666667,3.66666666666667,2,3.66666666666667
"42",1,2,13,4,3.33333333333333,3.66666666666667,4,4,4,4,4,4,4,4.33333333333333,3.66666666666667
"43",1,1,13,2.66666666666667,2.66666666666667,2.66666666666667,3.66666666666667,3,3.33333333333333,2.66666666666667,2.33333333333333,2.33333333333333,2.66666666666667,3,2.66666666666667
"44",1,1,13,2.66666666666667,1.66666666666667,1.33333333333333,3,2,1,3.33333333333333,2,1.66666666666667,2,4.33333333333333,2.66666666666667
"45",1,2,13,3,3,2.33333333333333,4,3,3.66666666666667,2.66666666666667,3.66666666666667,3,3.66666666666667,4.33333333333333,3.66666666666667
"46",1,1,13,3.66666666666667,4,2,4,4,4,2.33333333333333,3,3.33333333333333,4,4,4
"47",1,1,14,3.66666666666667,3.33333333333333,3.66666666666667,4,3,2,3.33333333333333,3.66666666666667,2.33333333333333,4,3,3.33333333333333
"48",1,1,13,3.5,3.33333333333333,3,3.66666666666667,3.66666666666667,3,2.66666666666667,4,2.66666666666667,4,5,4
"49",1,2,13,3,3.66666666666667,2,3.66666666666667,3.66666666666667,3.66666666666667,2.66666666666667,3.33333333333333,2.33333333333333,4,3.66666666666667,2.66666666666667
"50",1,2,13,3,3.5,3.33333333333333,4,4,4,4,3.66666666666667,3.66666666666667,4,4.33333333333333,3.33333333333333
"51",1,2,13,3.66666666666667,4,3,4,3.66666666666667,3.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333,4,4.33333333333333,4
